open_time,开盘价,最高价,最低价,收盘价,成交量,成交额,成交笔数,主动买入量,主动买入额,MA20,MA50,MACD,MACD_Signal,MACD_Hist,RSI,RSI_Secondary,RSI_Long,BB_Upper,BB_Middle,BB_Lower,BB_Long_Upper,BB_Long_Middle,BB_Long_Lower,Stoch_SlowK,Stoch_SlowD,OBV,ATR,ATR_Long,ATR_Ratio,ADX,Fib_Ret_0.382,Fib_Ret_0.500,Fib_Ret_0.618,Fib_Ret_0.236,Fib_Ret_0.786,Fib_Ret_0.000,Fib_Ret_1.000,Fib_Ext_1.272,Fib_Ext_1.414,Fib_Trend,Fib_High,Fib_Low,Fib_Signal,Fib_Support_Level,Fib_Resistance_Level,Fib_Price_Position,MA3,MA5,MA35,Volume_MA20,Volume_Ratio,MA_Fast_Signal,MACD_Zero_Cross,BB_Breakout_Strength,Fib_Key_Zone
2025-07-20 12:15:00,117883.4,118025.8,117788.2,117810.1,1165.307,137395920.0,20193.0,488.62,57615292.0,,,,,,,,,,,,,,,,,1165.307,,,,,,,,,,,,,,neutral,,,neutral,,,,,,,,,中性,,,
2025-07-20 12:30:00,117810.0,117892.3,117769.3,117840.8,927.034,109231944.0,18034.0,571.909,67388530.0,,,,,,,,,,,,,,,,,2092.341,,,,,,,,,,,,,,neutral,,,neutral,,,,,,,,,中性,,,
2025-07-20 12:45:00,117840.8,118157.8,117800.0,118055.4,972.733,114774280.0,19532.0,589.344,69536184.0,,,,,,,,,,,,,,,,,3065.074,,,,,,,,,,,,,,neutral,,,neutral,,,,117902.1,,,,,中性,,,
2025-07-20 13:00:00,118055.5,118180.8,118055.4,118098.4,785.187,92742710.0,17237.0,432.806,51119410.0,,,,,,,,,,,,,,,,,3850.261,,,,,,,,,,,,,,neutral,,,neutral,,,,117998.2,,,,,中性,,,
2025-07-20 13:15:00,118098.4,118140.0,118053.2,118093.2,502.702,59361256.0,11530.0,179.66,21215530.0,117979.58,,,,,,,,,,,,,,,,3347.559,,,,,,,,,,,,,,neutral,,,neutral,,,,118082.336,117979.58,,,,快速金叉,,,
2025-07-20 13:30:00,118093.2,118133.0,118055.1,118098.9,461.484,54495450.0,36852.0,228.526,26985098.0,118037.34,,,,,,,,,,,,,,,,3809.043,,,,,,,,,,,,,,neutral,,,neutral,,,,118096.836,118037.34,,,,快速金叉,,,
2025-07-20 13:45:00,118098.8,118383.0,118085.6,118378.7,972.139,114958820.0,21451.0,669.485,79173176.0,118144.92,,,,,,,,,,,,,,,,4781.182,,,,,,,,,,,,,,neutral,,,neutral,,,,118190.266,118144.92,,,,快速金叉,,,
2025-07-20 14:00:00,118378.7,118750.0,118251.2,118530.4,4148.907,491723700.0,71529.0,2588.311,306785860.0,118239.92,,,,,99.28835,,,,,,,,,,,8930.089,,,,,,,,,,,,,,neutral,,,neutral,,,,118336.0,118239.92,,,,快速金叉,,,
2025-07-20 14:15:00,118530.4,118794.0,118430.7,118627.4,1625.784,192874260.0,33320.0,952.363,112982750.0,118345.72,,,,,99.38379,,,,,,,,,,,10555.873,241.3,,,,,,,,,,,,,neutral,,,neutral,,,,118512.164,118345.72,,,,快速金叉,,,
2025-07-20 14:30:00,118627.3,118780.6,118502.9,118563.9,789.655,93659100.0,19940.0,400.915,47552456.0,118439.86,,,,,90.1504,,,,,,,,,,,9766.218,245.85,,,,,,,,,,,,,neutral,,,neutral,,,,118573.9,118439.86,,,,快速金叉,,,
2025-07-20 14:45:00,118564.0,118591.4,118355.0,118433.0,781.435,92577310.0,18531.0,214.95,25462610.0,118506.68,,,,,73.68608,,,,,,,,,67.81577,77.042244,8984.783,244.66875,,,,,,,,,,,,,neutral,,,neutral,,,,118541.43,118506.68,,,,快速金叉,,,
2025-07-20 15:00:00,118433.0,118640.0,118329.9,118640.0,718.925,85142230.0,18484.0,357.886,42390044.0,118558.94,,,,,80.31781,,,119039.13,118264.18,117489.234,,,,66.45536,70.28885,9703.708,252.84766,,,,,,,,,,,,,neutral,,,neutral,,,,118545.63,118558.94,,,,快速死叉,,,
2025-07-20 15:15:00,118640.0,118696.4,118500.0,118696.4,516.948,61304504.0,15604.0,281.986,33441434.0,118592.14,,,,,81.77764,,,119078.99,118338.04,117597.09,,,,72.21653,68.82922,10220.656,245.7917,,,,,,,,,,,,,neutral,,,neutral,,,,118589.8,118592.14,,,,快速死叉,,,
2025-07-20 15:30:00,118696.4,118758.6,118547.0,118574.5,742.813,88141110.0,17632.0,384.559,45632908.0,118581.56,,,,,68.89294,,,119035.984,118399.18,117762.38,,,,74.980736,71.217545,9477.843,241.51773,,,,,,,,,,,,,neutral,,,neutral,,,,118636.97,118581.56,,,,快速金叉,,,
2025-07-20 15:45:00,118574.5,118764.2,118553.6,118669.3,946.805,112370060.0,18040.0,501.756,59546090.0,118602.64,,,,,72.78359,78.59805,,119049.48,118450.34,117851.2,,,,72.971596,73.38962,10424.648,237.65302,,,,,,,,,,,,,neutral,,,neutral,,,,118646.734,118602.64,,,,快速金叉,,,
