open_time,开盘价,最高价,最低价,收盘价,成交量,成交额,成交笔数,主动买入量,主动买入额,MA12,MA26,MA20,MA50,MACD,MACD_Signal,MACD_Hist,RSI,BB_Upper,BB_Middle,BB_Lower,Stoch_SlowK,Stoch_SlowD,OBV,ATR,ADX,计算时间,MA_Signal,MACD_Signal_Analysis,RSI_Signal,BB_Signal,Stoch_Signal,综合信号
2025-07-10 02:00:00,111148.3,111548.3,111088.0,111178.4,4160.178,463050079.7278,68483.0,2226.096,247801511.5191,,,,,,,,,,,,,,4160.178,,,2025-07-18 17:22:44,中性,中性,中性,中轨附近,中性,中性
2025-07-10 03:00:00,111178.4,111183.3,110937.5,111028.2,2312.372,256803479.4295,40964.0,1061.229,117851466.0223,,,,,,,,,,,,,,1847.806,,,2025-07-18 17:22:44,中性,中性,中性,中轨附近,中性,中性
2025-07-10 04:00:00,111028.3,111146.1,110905.3,111106.9,2164.563,240342332.6835,38808.0,1163.668,129213320.4425,,,,,,,,,,,,,,4012.369,,,2025-07-18 17:22:44,中性,中性,中性,中轨附近,中性,中性
2025-07-10 05:00:00,111106.9,111127.6,110894.2,111058.4,2505.715,278082201.4869,37711.0,1360.715,151015369.8635,,,,,,,,,,,,,,1506.654,,,2025-07-18 17:22:44,中性,中性,中性,中轨附近,中性,中性
2025-07-10 06:00:00,111058.4,111270.0,111050.4,111184.7,2199.533,244507774.7103,48390.0,1051.968,116939372.7044,,,,,,,,,,,,,,3706.187,,,2025-07-18 17:22:44,中性,中性,中性,中轨附近,中性,中性
2025-07-10 07:00:00,111184.7,111399.7,111085.7,111186.1,3633.956,404325899.218,68036.0,1642.494,182760691.7807,,,,,,,,,,,,,,7340.143,,,2025-07-18 17:22:44,中性,中性,中性,中轨附近,中性,中性
2025-07-10 08:00:00,111186.2,111370.3,111082.6,111185.2,2636.566,293223057.1241,46577.0,1182.608,131521149.1919,,,,,,,,,,,,,,4703.577,,,2025-07-18 17:22:44,中性,中性,中性,中轨附近,中性,中性
2025-07-10 09:00:00,111185.2,111215.2,110970.5,110997.8,2382.992,264726686.8863,43611.0,1219.845,135518643.8167,,,,,,,,,,,,,,2320.585,,,2025-07-18 17:22:44,中性,中性,中性,中轨附近,中性,中性
2025-07-10 10:00:00,110997.8,111059.7,110800.0,111036.8,4940.044,548077936.9134,54506.0,2079.758,230754921.2796,,,,,,,,,,,,,,7260.629,,,2025-07-18 17:22:44,中性,中性,中性,中轨附近,中性,中性
2025-07-10 11:00:00,111036.7,111137.9,110915.4,110972.2,2407.382,267287099.2013,43462.0,1124.396,124845391.821,,,,,,,,,,,,,,4853.246999999999,,,2025-07-18 17:22:44,中性,中性,中性,中轨附近,中性,中性
2025-07-10 12:00:00,110972.1,110972.2,110693.8,110809.0,4430.287,490900303.1678,71222.0,2075.531,229982054.0414,,,,,,,,,,,,,,422.9599999999991,,,2025-07-18 17:22:44,中性,中性,中性,中轨附近,中性,中性
2025-07-10 13:00:00,110808.9,110988.0,110432.2,110750.0,8705.438,963849944.0054,132636.0,4382.934,485321479.4897,111041.14166666666,,111041.14166666666,,,,,26.697127937337427,,,,,,-8282.478000000001,,,2025-07-18 17:22:44,中性,中性,超卖,中轨附近,中性,中性
