open_time,开盘价,最高价,最低价,收盘价,成交量,成交额,成交笔数,主动买入量,主动买入额,MA12,MA26,MA20,MA50,MACD,MACD_Signal,MACD_Hist,RSI,BB_Upper,BB_Middle,BB_Lower,Stoch_SlowK,Stoch_SlowD,OBV,ATR,ADX,计算时间,MA_Signal,MACD_Signal_Analysis,RSI_Signal,BB_Signal,Stoch_Signal,综合信号
2025-07-09 08:00:00,108674.7,108799.0,108601.0,108612.2,1752.869,190541886.7876,32976.0,788.129,85664966.6498,,,,,,,,,,,,,,1752.869,,,2025-07-17 23:58:33,中性,中性,中性,中轨附近,中性,中性
2025-07-09 09:00:00,108612.3,108737.3,108510.0,108703.6,1920.572,208576347.1143,33785.0,946.731,102820736.3386,,,,,,,,,,,,,,3673.441,,,2025-07-17 23:58:33,中性,中性,中性,中轨附近,中性,中性
2025-07-09 10:00:00,108703.6,108850.1,108654.2,108850.1,1533.184,166768121.3617,31085.0,814.32,88579840.0971,,,,,,,,,,,,,,5206.625,,,2025-07-17 23:58:33,中性,中性,中性,中轨附近,中性,中性
2025-07-09 11:00:00,108850.1,109074.0,108850.0,109008.3,4337.75,472734147.657,68163.0,2070.789,225675378.56,,,,,,,,,,,,,,9544.375,,,2025-07-17 23:58:33,中性,中性,中性,中轨附近,中性,中性
2025-07-09 12:00:00,109008.3,109472.0,108929.1,109286.7,9961.526,1089090677.8304,136753.0,5474.33,598415984.106,,,,,,,,,,,,,,19505.900999999998,,,2025-07-17 23:58:33,中性,中性,中性,中轨附近,中性,中性
2025-07-09 13:00:00,109286.6,109738.5,109072.2,109136.9,13260.997,1451773576.3708,179439.0,6833.403,748260436.1255,,,,,,,,,,,,,,6244.903999999999,,,2025-07-17 23:58:33,中性,中性,中性,中轨附近,中性,中性
2025-07-09 14:00:00,109136.8,109429.9,108429.0,108840.0,15424.001,1678515094.8006,223019.0,7882.09,857724841.4026,,,,,,,,,,,,,,-9179.097000000002,,,2025-07-17 23:58:33,中性,中性,中性,中轨附近,中性,中性
2025-07-09 15:00:00,108840.1,109175.3,108749.1,109020.0,5585.174,608579139.368,92520.0,2852.34,310791908.2506,,,,,,,,,,,,,,-3593.9230000000016,,,2025-07-17 23:58:33,中性,中性,中性,中轨附近,中性,中性
2025-07-09 16:00:00,109019.9,109430.0,108975.9,109350.0,4041.18,441345711.0798,76875.0,2072.045,226294974.5543,,,,,,,,,,,,,,447.25699999999824,,,2025-07-17 23:58:33,中性,中性,中性,中轨附近,中性,中性
2025-07-09 17:00:00,109350.0,109413.8,108979.6,109108.4,3619.848,395106517.6791,67056.0,1632.252,178146737.6457,,,,,,,,,,,,,,-3172.5910000000017,,,2025-07-17 23:58:33,中性,中性,中性,中轨附近,中性,中性
2025-07-09 18:00:00,109108.4,109537.0,109084.4,109485.6,5196.15,568491928.1915,83012.0,2892.429,316436895.953,,,,,,,,,,,,,,2023.558999999998,,,2025-07-17 23:58:33,中性,中性,中性,中轨附近,中性,中性
2025-07-09 19:00:00,109485.6,112036.8,109446.0,111718.8,42985.839,4769043444.6236,565784.0,25604.07,2839979240.3765,109260.05,,109260.05,,,,,84.6471270521056,,,,,,45009.398,,,2025-07-17 23:58:33,中性,中性,超买,中轨附近,中性,中性
2025-07-09 20:00:00,111718.8,111931.5,110508.0,110675.8,19495.737,2168006699.8488,302254.0,8831.8,982102442.635,109432.01666666668,,109432.01666666668,,,,,67.39898765651365,,,,,,25513.661,719.8916666666677,,2025-07-17 23:58:33,中性,中性,看涨区域,中轨附近,中性,中性
2025-07-09 21:00:00,110675.8,111239.0,110627.2,110785.8,7896.78,876507138.5634,127003.0,3913.109,434321949.2904,109605.53333333334,,109605.53333333334,,,,,68.1518495384829,,,,,,33410.441,710.884027777779,,2025-07-17 23:58:33,中性,中性,看涨区域,中轨附近,中性,中性
2025-07-09 22:00:00,110785.7,111378.3,110781.9,111327.9,4945.648,549899804.3197,94568.0,2591.68,288164214.7016,109812.01666666666,,109812.01666666666,,,,,71.6952696945357,,,,69.31740488201483,73.43205732113961,38356.089,701.3436921296316,,2025-07-17 23:58:33,中性,中性,超买,中轨附近,看跌交叉,中性
2025-07-09 23:00:00,111328.0,111483.6,111178.9,111199.9,4277.022,476268886.661,70848.0,2077.501,231361648.683,109994.64999999998,,109994.64999999998,,,,,69.68163802212703,111737.11886610511,109694.375,107651.63113389489,74.15969103978402,72.13537335772487,34079.067,668.2900511188299,,2025-07-17 23:58:33,中性,中性,看涨区域,上轨区域,看涨交叉,中性
2025-07-10 00:00:00,111199.8,111286.9,110863.2,110868.6,3438.826,382023237.4508,65543.0,1517.448,168588042.4811,110126.47499999999,,110126.47499999999,,,,,64.5221950562928,111871.37045779203,109835.40000000001,107799.42954220799,74.92470018663253,72.80059870281048,30640.241,647.9075468589272,,2025-07-17 23:58:33,中性,中性,看涨区域,上轨区域,看涨交叉,中性
