open_time,开盘价,最高价,最低价,收盘价,成交量,成交额,成交笔数,主动买入量,主动买入额,MA20,MA50,MA_LONG,MACD,MACD_Signal,MACD_Hist,RSI,RSI_Long,BB_Upper,BB_Middle,BB_Lower,BB_Long_Upper,BB_Long_Middle,BB_Long_Lower,Stoch_SlowK,Stoch_SlowD,OBV,ATR,ATR_Long,ATR_Ratio,ADX,Fib_Ret_0.382,Fib_Ret_0.500,Fib_Ret_0.618,Fib_Ret_0.236,Fib_Ret_0.786,Fib_Ret_0.000,Fib_Ret_1.000,Fib_Ext_1.272,Fib_Ext_1.414,Fib_Trend,Fib_High,Fib_Low,Fib_Signal,Fib_Support_Level,Fib_Resistance_Level,Fib_Price_Position,MA200,MACD_Long,MACD_Long_Signal
2024-12-13,99982.3,101869.5,99149.6,101371.9,152437.31,15327839000.0,3042727.0,76027.66,7643586600.0,97544.06,,,,,,56.06872,,102391.25,97544.06,92696.87,,,,73.616806,64.244385,-413952.88,4306.449,,,,,,,,,,,,,neutral,,,neutral,,,,,,
2024-12-14,101371.9,102638.0,100559.8,101381.0,107680.55,10931716000.0,2229858.0,53113.633,5393209300.0,97718.13,,,,,,56.085796,55.136395,102833.99,97718.13,92602.27,,,,74.23056,70.14898,-306272.3,4147.2886,,,,,,,,,,,,,neutral,,,neutral,,,,,,
2024-12-15,101381.0,105374.6,101200.1,104460.4,157733.92,16239310000.0,3101360.0,84467.83,8698623000.0,98027.66,,,,,,61.533867,58.873367,103895.9,98027.66,92159.414,,,,82.95897,76.93545,-148538.4,4149.2324,,,,,,,,,,,,,neutral,,,neutral,,,,,,
2024-12-16,104460.5,107777.0,103264.6,106023.2,274395.75,28967203000.0,5278040.0,138944.34,14670106000.0,98644.766,,,,,,63.976433,60.62126,105000.625,98644.766,92288.9,,,,87.159966,81.44984,125857.35,4175.173,,,,,,,,,,,,,neutral,,,neutral,,,,,,
2024-12-17,106023.2,108366.8,105252.0,106074.6,197773.9,21115020000.0,4179052.0,99997.28,10677742000.0,99313.96,,,,,,64.057274,60.67897,105698.664,99313.96,92929.26,,,,90.460045,86.85966,323631.25,4099.432,,,,,,,,,,,,,neutral,,,neutral,,,,,,
2024-12-18,106074.6,106484.6,99951.1,100181.1,328581.94,33924250000.0,6216898.0,155604.9,16069942000.0,99517.58,,,,,,50.158512,51.578365,105724.71,99517.58,93310.44,,,,77.4487,85.0229,-4950.673,4273.294,,,,,,,,,,,,,neutral,,,neutral,,,,,,
2024-12-19,100181.2,102756.7,95681.2,97434.4,372968.47,37081223000.0,7425449.0,179453.92,17848003000.0,99600.43,,,,,,45.23265,48.05167,105645.56,99600.43,93555.305,,,,55.33939,74.416046,-377919.12,4473.4517,,,,,,,,,,,,,neutral,,,neutral,,,,,,
2024-12-20,97434.3,98243.0,92272.6,97764.4,396188.78,37958726000.0,7747092.0,192090.03,18404614000.0,99612.25,,,,,,45.91982,48.495926,105641.984,99612.25,93582.51,,,,37.58618,56.791424,18269.658,4580.3765,,,17.314922,,,,,,,,,,neutral,,,neutral,,,,,,
2024-12-21,97764.5,99485.0,96375.0,97261.8,161258.48,15758502000.0,3335893.0,80347.266,7853654000.0,99649.71,,,,,,44.99387,47.841644,105610.4,99649.71,93689.016,,,,29.6057,40.843758,-142988.83,4475.3496,,,17.076248,,,,,,,,,,neutral,,,neutral,,,,,,
2024-12-22,97261.7,97437.9,94200.0,95153.5,148114.73,14215964000.0,3134938.0,70507.414,6767629000.0,99549.16,,,,,,41.23745,45.158176,105734.375,99549.16,93363.94,,,,27.674358,31.62208,-291103.56,4386.9604,,,17.327919,,,,,,,,,,neutral,,,neutral,,,,,,
2024-12-23,95153.4,96499.0,92464.4,94861.1,247211.86,23352439000.0,5207668.0,121829.03,11510199000.0,99500.14,,,,,,40.72957,44.792305,105815.51,99500.14,93184.766,,,,21.661219,26.313759,-538315.44,4361.7915,,,17.913713,,,,,,,,,,neutral,,,neutral,,,,,,
2024-12-24,94861.0,99450.0,93525.6,98627.2,211610.62,20467194000.0,3920298.0,109376.055,10580880000.0,99629.375,,,,,,49.377483,50.244106,105754.05,99629.375,93504.695,,,,24.489153,24.608244,-326704.78,4473.4067,,,17.542433,,,,,,,,,,neutral,,,neutral,,,,,,
2024-12-25,98626.9,99580.7,97570.0,99379.7,124696.89,12284102000.0,2722825.0,62253.484,6133707300.0,99663.18,,,,,,50.91844,51.254017,105774.12,99663.18,93552.234,,,,33.242203,26.464191,-202007.89,4297.499,,,17.158667,,,,,,,,,,neutral,,,neutral,,,,,,
2024-12-26,99379.6,99950.0,95153.0,95751.0,194857.66,18828964000.0,3878316.0,95170.88,9195864000.0,99603.625,,,223.10278,1133.6259,-910.5231,43.96799,46.47746,105840.234,99603.625,93367.02,,,,35.08531,30.938889,-396865.53,4333.1777,,,17.35438,,,,,,,,,,neutral,,,neutral,,,,,,
2024-12-27,95750.9,97564.5,93440.0,94258.9,206008.25,19664749000.0,4086656.0,102046.14,9741715000.0,99339.65,,,-104.95124,885.9104,-990.8617,41.46178,44.679695,105976.68,99339.65,92702.62,,,,26.037952,31.455154,-602873.75,4318.272,,,17.896214,,,,,,,,,,neutral,,,neutral,,,,,,
2024-12-28,94258.9,95700.0,94100.0,95259.1,67991.35,6441586700.0,1613529.0,35331.938,3347872000.0,99118.69,,,-280.98956,652.53046,-933.51996,43.77534,46.145878,105971.92,99118.69,92265.45,,,,17.503614,26.20896,-534882.44,4124.11,,,18.399345,,,,,,,,,,neutral,,,neutral,,,,,,
2024-12-29,95259.1,95300.0,92961.8,93700.0,95047.94,8949367000.0,1990464.0,44931.74,4231864600.0,98761.55,,,-540.0818,414.008,-954.0898,41.05173,44.227337,105918.664,98761.55,91604.43,,,,13.255707,18.932425,-629930.4,3996.5447,,,19.11454,,,,,,,,,,neutral,,,neutral,,,,,,
2024-12-30,93699.9,95031.6,91510.0,92759.3,222343.6,20718760000.0,4401173.0,111061.0,10352744000.0,98542.984,,,-811.9611,168.81416,-980.77527,39.456596,43.092316,106126.88,98542.984,90959.086,,,,11.61222,14.123847,-852273.94,3962.62,,,20.084145,,,,,,,,,,neutral,,,neutral,,,,,,
2024-12-31,92759.3,96254.3,92000.0,93548.9,178648.11,16839153000.0,3535447.0,91654.17,8640104000.0,98397.58,,,-952.73083,-55.494835,-897.236,41.51098,44.350998,106237.49,98397.58,90557.664,,,,9.965336,11.611088,-673625.8,3983.4543,,,20.497322,,,,,,,,,,neutral,,,neutral,,,,,,
2025-01-01,93548.8,95161.2,92796.5,94580.9,91236.66,8572615000.0,1804360.0,45712.48,4296719400.0,98086.42,,,-969.8384,-238.36354,-731.47485,44.17712,45.99037,105988.625,98086.42,90184.22,,,,16.110624,12.562727,-582389.2,3867.829,,,20.880987,,,,,,,,,,neutral,,,neutral,,,,,,
2025-01-02,94580.9,97822.4,94357.4,96967.5,181645.5,17520374000.0,3485887.0,91670.016,8844274000.0,97942.85,,,-781.80536,-347.0519,-434.75348,49.868343,49.595955,105811.53,97942.85,90074.17,,,,35.194313,20.423426,-400743.7,3839.0557,,,20.204706,,,,,,,,,,neutral,,,neutral,,,,,,
2025-01-03,96967.6,98949.0,96061.5,98145.7,125220.67,12191508000.0,2447503.0,62635.65,6100957000.0,97789.23,,,-531.5892,-383.95935,-147.6298,52.44588,51.281822,105508.67,97789.23,90069.77,,,,56.863087,36.056007,-275523.0,3771.0874,,,19.18078,,,,,,,,,,neutral,,,neutral,,,,,,
2025-01-04,98145.7,98760.9,97438.2,98173.2,71914.63,7047067000.0,1425236.0,34608.53,3391666200.0,97636.47,,,-327.29907,-372.62732,45.328224,52.50726,51.321728,105190.76,97636.47,90082.18,,,,74.07741,55.37827,-203608.38,3596.2026,,,18.229994,,,,,,,,,,neutral,,,neutral,,,,,,
2025-01-05,98173.2,98852.6,97227.0,98340.2,74949.29,7346604500.0,1416760.0,36787.547,3606330400.0,97345.03,,,-150.19092,-328.14,177.94911,52.904797,51.574627,104269.78,97345.03,90420.28,,,,79.49882,70.14644,-128659.09,3455.4453,,,17.419073,,,,,,,,,,neutral,,,neutral,,,,,,
2025-01-06,98340.2,102444.0,97872.6,102180.4,207493.33,20828553000.0,3872847.0,106223.516,10662927000.0,97162.04,,,296.62137,-203.18774,499.8091,60.99086,56.972134,103320.52,97162.04,91003.56,,,,85.82119,79.79914,78834.234,3535.1562,,,16.934582,,,,,,,,,,neutral,,,neutral,,,,,,
2025-01-07,102180.5,102762.1,96153.0,96920.3,258711.31,25560000000.0,4469033.0,124202.164,12272380000.0,96726.125,,,223.69855,-117.810486,341.50903,48.665344,49.10096,101421.62,96726.125,92030.63,,,,75.53276,80.284256,-179877.08,3754.7236,,,15.868991,,,,,,,,,,neutral,,,neutral,,,,,,
2025-01-08,96920.2,97242.2,92500.0,95014.1,262012.11,24890489000.0,5034341.0,125746.04,11946831000.0,96480.08,,,11.954485,-91.85749,103.81198,45.10779,46.648624,100962.27,96480.08,91997.88,,,,58.93783,73.430595,-441889.2,3825.2578,,,15.693815,,,,,,,,,,neutral,,,neutral,,,,,149.79805,251.75304
2025-01-09,95014.0,95358.7,91055.8,92505.9,257760.9,23994410000.0,4976061.0,122609.98,11417562000.0,96245.38,,,-354.16245,-144.31848,-209.84395,40.87376,43.637474,101010.33,96245.38,91480.445,,,,30.537224,55.002605,-699650.06,3859.375,,,15.905382,,,,,,,,,,neutral,,,neutral,,,,,-124.54075,176.49428
2025-01-10,92506.0,95882.5,92173.6,94675.5,261942.95,24636484000.0,4889944.0,131544.77,12376535000.0,96098.3,,,-463.89664,-208.23412,-255.66252,45.62799,46.75886,100857.3,96098.3,91339.3,,,,24.816683,38.097244,-437707.12,3848.6267,,,15.906146,,,,,,,,,,neutral,,,neutral,,,,,-249.99771,91.19588
2025-01-11,94675.6,94988.0,93802.1,94562.5,64661.76,6101597700.0,1369972.0,31163.719,2940960300.0,95969.76,,,-553.5984,-277.30698,-276.2914,45.42313,46.617676,100741.91,95969.76,91197.61,,,,24.421324,26.591743,-502368.9,3658.4321,,,15.906856,,,,,,,,,,neutral,,,neutral,,,,,-361.66342,0.62401885
