open_time,开盘价,最高价,最低价,收盘价,成交量,MA20,MA50,MACD,MACD_Signal,MACD_Hist,RSI,BB_Upper,BB_Middle,BB_Lower,Fib_Ret_0.382,Fib_Ret_0.500,Fib_Ret_0.618,Fib_Ext_1.272,Fib_Trend,Fib_Signal,ATR,ADX,OBV
2024-11-23,98921.5,98937.3,97173.5,97725.5,120358.42,85200.77,73176.164,7040.922,6258.333,782.5889,78.04795,104683.68,85200.77,65717.86,,,,,neutral,neutral,3399.6626,53.174423,3087643.5
2024-11-24,97725.6,98666.0,95822.1,97960.4,173118.84,86591.15,73806.19,6999.0225,6406.4707,592.55164,78.26606,105336.61,86591.15,67845.69,,,,,neutral,neutral,3359.9653,53.821712,3260762.2
2024-11-25,97960.5,98999.0,92666.0,93064.0,329375.03,87792.56,74393.23,6495.8384,6424.344,71.49403,63.993374,104721.414,87792.56,70863.71,,,,,neutral,neutral,3572.325,52.738495,2931387.2
2024-11-26,93064.0,95064.0,90866.4,92021.4,344929.22,88872.01,74964.11,5944.4087,6328.357,-383.94843,61.424747,103723.51,88872.01,74020.5,,,,,neutral,neutral,3616.9875,50.921154,2586458.0
2024-11-27,92021.5,97250.0,91864.0,95905.2,237005.98,89839.875,75603.71,5754.453,6213.576,-459.1231,66.774796,103717.51,89839.875,75962.24,,,,,neutral,neutral,3743.3455,49.736362,2823464.0
2024-11-28,95905.2,96627.6,94700.1,95694.4,154007.03,90784.4,76215.35,5523.234,6075.508,-552.2739,66.237816,103366.914,90784.4,78201.89,,,,,neutral,neutral,3613.6423,48.6362,2669457.0
2024-11-29,95694.4,98713.3,95404.5,97516.3,190520.95,91786.02,76860.68,5424.473,5945.301,-520.82776,68.588875,102920.484,91786.02,80651.56,,,,,neutral,neutral,3591.8677,48.06846,2859978.0
2024-11-30,97516.2,97522.1,96150.0,96475.1,93074.22,92728.88,77473.15,5202.22,5796.685,-594.4644,65.770134,101735.27,92728.88,83722.49,,,,,neutral,neutral,3433.313,47.54127,2766903.8
2024-12-01,96475.2,97933.0,95736.5,97265.1,113222.99,93531.51,78110.87,5031.826,5643.713,-611.8869,66.882225,100849.43,93531.51,86213.58,,,,,neutral,neutral,3344.9692,46.83304,2880126.8
2024-12-02,97265.0,98266.0,94400.0,95890.5,257613.9,93872.53,78724.664,4731.329,5461.2363,-729.9073,63.044144,100926.15,93872.53,86818.92,,,,,neutral,neutral,3382.1855,45.48314,2622512.8
2024-12-03,95890.6,96375.0,93605.0,95913.3,206601.98,94250.69,79366.6,4443.7974,5257.7485,-813.9513,63.081985,100834.234,94250.69,87667.15,,,,,neutral,neutral,3338.458,43.835236,2829114.8
2024-12-04,95913.3,99099.9,94650.8,98669.8,275949.22,94643.86,80064.36,4387.773,5083.7534,-695.9802,67.425026,101249.88,94643.86,88037.83,,,,,neutral,neutral,3417.7896,43.066658,3105064.0
2024-12-05,98669.8,104630.4,90200.0,97001.5,580277.4,95101.9,80691.5,4160.793,4899.161,-738.3684,62.623352,100917.086,95101.9,89286.71,,,,,neutral,neutral,4204.405,43.457214,2524786.5
2024-12-06,97001.6,101988.8,96429.5,99802.5,282369.6,95517.51,81357.44,4158.9844,4751.126,-592.1415,66.88711,101369.414,95517.51,89665.6,,,,,neutral,neutral,4301.183,43.819874,2807156.2
2024-12-07,99802.5,100499.0,98876.9,99899.2,95858.66,95958.266,82031.24,4117.8857,4624.478,-506.5922,67.026955,101667.86,95958.266,90248.68,,,,,neutral,neutral,4109.82,44.156628,2903014.8
2024-12-08,99899.2,101457.9,98709.4,101200.0,109755.68,96496.37,82670.06,4142.526,4528.0874,-385.5616,68.927986,101944.625,96496.37,91048.11,,,,,neutral,neutral,4012.5828,44.64446,3012770.5
2024-12-09,101200.1,101300.0,94039.7,97349.1,326973.6,96822.164,83221.06,3807.4282,4383.9556,-576.52734,58.22559,101572.48,96822.164,92071.85,,,,,neutral,neutral,4244.5625,42.94158,2685797.0
2024-12-10,97349.1,98320.6,94265.5,96602.4,291490.75,97025.33,83748.52,3441.9321,4195.551,-753.61884,56.397026,101335.31,97025.33,92715.34,,,,,neutral,neutral,4231.0293,41.360336,2394306.2
2024-12-11,96602.3,101880.0,95650.0,101115.3,221807.7,97350.44,84361.5,3476.3538,4051.7114,-575.35767,63.79707,101812.74,97350.44,92888.13,,,,,neutral,neutral,4373.813,40.741558,2616114.0
2024-12-12,101115.3,102538.4,99280.2,99982.4,215219.08,97427.375,84935.586,3373.332,3916.0356,-542.70355,60.998367,102011.17,97427.375,92843.57,,,,,neutral,neutral,4294.1265,40.30661,2400894.8
2024-12-13,99982.3,101869.5,99149.6,101371.9,152437.31,97544.06,85535.85,3365.0178,3805.832,-440.81424,63.1345,102391.25,97544.06,92696.87,,,,,neutral,neutral,4181.6816,39.843422,2553332.2
2024-12-14,101371.9,102638.0,100559.8,101381.0,107680.55,97718.13,86124.234,3320.8818,3708.842,-387.9601,63.14873,102833.99,97718.13,92602.27,,,,,neutral,neutral,4031.433,39.591095,2661012.8
2024-12-15,101381.0,105374.6,101200.1,104460.4,157733.92,98027.66,86798.625,3494.108,3665.8953,-171.78735,67.69472,103895.9,98027.66,92159.414,,,,,neutral,neutral,4041.652,39.930195,2818746.8
2024-12-16,104460.5,107777.0,103264.6,106023.2,274395.75,98644.766,87500.75,3714.675,3675.6511,39.02391,69.73521,105000.625,98644.766,92288.9,,,,,neutral,neutral,4075.2769,40.668404,3093142.5
